,drugName,condition,Side_Effect,effectiveness
162,Amphetamine / dextroamphetamine,"ADHD, Narcolepsy, Not Listed / Othe, atigue","sleepy, irritable mood, seizure, sleeplessness, adverse effect, anger, fall, tired, affective disorder, mental disorder, alcoholism, aversion, pain management, constipation, brain damage, sweat, agitation, nervousness, hunger, gag, staring, Fatigue, myalgia, anxiety disorder, drowsiness, suicidal, exhaustion, blood test, panic, elation, Aggression, aggression, screaming, overweight, traction, pain, stress, Depression, erectile dysfunction, Headache, opiates, ache, amphetamines, Decreased appetite, scratch, diarrhea, unhappy, smoker, crying, hypersomnia, nausea, fatigue, nightmare, weight gain, difficulty, binge eating, Insomnia, dizziness, homeless, worry, chill, moody, palpitation, frustration, withdraw, daydreaming, breast feeding, alcoholic, sleep paralysis, headache, shortness of breath, Pain, birth control, personality change, sleep attacks, energy increased, red blotches, redness",60.79%
163,Ampicillin,"Meningitis, Urinary Tract Infection",drowsiness,71.66%
164,Ampicillin / sulbactam,"Bone infection, Urinary Tract Infection",,66.92%
165,Amrix,"Migraine, Muscle Spasm, Sciatica, ibromyalgia","sleepy, seizure, spasm, flare, surgery, sciatica, fall, tired, fatigue, difficulty, pain, constipation, stress, myalgia, drowsiness, redness",50.12%
166,Anafranil,"1 Depression, Obsessive Compulsive Disorde, Panic Disorde","hypotension, fall, tired, compulsions, constipation, sweat, drowsiness, surgery, panic, pain, stress, ache, diarrhea, obsessive thoughts, fatigue, weight gain, difficulty, worry, palpitation, spasm, withdraw, headache, anorgasmia",60.72%
167,Anakinra,Still's Disease,"pain, bedridden",66.23%
168,Anaprox,"Back Pain, Muscle Pain, Osteoarthritis, Tendonitis","anger, pain, drowsiness",48.27%
169,Anastrozole,"Breast Cance, Breast Cancer, Metastatic, Endometrial Cance","fall, tired, vomiting, moan, constipation, sweat, biopsy, nervousness, myalgia, surgery, mastectomy, Fear, blood test, drug therapy, numbness, sciatica, panic, osteopenia, pain, Headache, Bone pain, ache, magnesium deficiency, Vomiting, hot flush, scratch, diarrhea, radiotherapy, nausea, wound, fatigue, nightmare, weight gain, cough, difficulty, Insomnia, dizziness, grip strength, swelling, stiffness, flushing, worry, Breast cancer, hysterectomy, moody, night sweat, headache, shortness of breath, Pain, Nausea, bladder prolapse, redness",39.21%
170,Anexsia,Pain,pain,69.99%
171,Angeliq,Postmenopausal Symptoms,"palpitation, menopausal symptoms, night sweat, hot flush, nausea, weight gain, pain, sweat",57.92%
172,Antabuse,Alcohol Dependence,"Flushing, seizure, anger, alcohol problem, fall, acupuncture, alcoholism, suicidal, drowsiness, surgery, elation, pain, stress, ache, hangover, nausea, fatigue, swelling, flushing, worry, alcoholic, headache",64.89%
173,Anti-Diarrheal,Diarrhea,diarrhea,84.70%
174,Antihemophilic factor / von willebrand factor,von Willebrand's Disease,"vaginal hysterectomy, surgery, hysterectomy",77.76%
175,Antipyrine / benzocaine,Otitis Media,"screaming, pain",74.20%
176,Anturol,Overactive Bladde,,29.55%
177,Anusol-HC Suppositories,Hemorrhoids,pain,16.00%
178,Apidra,"Diabetes, Type 2",aura,82.50%
179,Apixaban,"Prevention of Thromboembolism in Atrial Fibrillation, Pulmonary Embolism","blood test, scar tissue, tired, unwell, cough, pain, dizziness, ache, redness",36.44%
180,Aplenzin,"Depression, Major Depressive Disorde, Obesity","panic, sweat, ache, Mood swings, suicidal",51.51%
181,Apomorphine,Parkinson's Disease,"delivery, stiffness",60.63%
182,Apremilast,"Not Listed / Othe, Plaque Psoriasis, Psoriatic Arthritis","seizure, sleeplessness, tired, scab, Psoriasis, vomiting, heartburn, tendon pain, Rash, feeling hopeless, biopsy, gag, staring, Fatigue, surgery, fever, panic, lesion, screaming, overweight, pain, stress, Tremor, lung infection, Headache, ache, Arthritis, scratch, diarrhea, Tension, crying, nausea, bite, wound, Anxiety, nightmare, fatigue, cough, guttate psoriasis, dizziness, swelling, stiffness, palpitation, spasm, flare, skin plaque, headache, Pain, Nausea, redness",38.89%
183,Apriso,"Crohn's Disease, Inflammatory Bowel Disease, Ulcerative Colitis, Ulcerative Colitis, Maintenance","flare, tired, headache, nausea, sigmoiditis, vomiting, vertigo, pain, sweat, stiffness, biopsy, Colitis, ache",40.91%
184,Aptensio XR,ADHD,"tired, moody",50.29%
185,Arava,Rheumatoid Arthritis,"fever, flare, fall, headache, nausea, ache, cough, pain, swelling, stiffness, lung nodule, myalgia, surgery, tooth infection",46.45%
186,Arcalyst,amilial Cold Autoinflammatory Syndrome,"pain, worry, terrify",72.31%
187,Arginine,"Diagnosis and Investigation, Dietary Supplementation","withdraw, artery dissection, smoker, pain, stress",70.91%
188,Aricept, Alzheimer's Disease,"sleepy, fever, palpitation, diarrhea, delusion, anger, tired, headache, vascular dementia, weight gain, pain, constipation, swelling, agitation, ache, surgery",38.49%
189,Aricept ODT,"Alzheimer's Disease, Mild Cognitive Impairment",,66.60%
190,Aripiprazole,"Agitated State, Autism, Bipolar Disorde, Borderline Personality Disorde, Depression, Major Depressive Disorde, Not Listed / Othe, Obsessive Compulsive Disorde, Post Traumatic Stress Disorde, Schizoaffective Disorde, Schizophrenia, Tourette's Syndrome","mania, sleepy, Akathisia, sleeplessness, anger, fall, tired, affective disorder, heartburn, constipation, Stress, sweat, agitation, hunger, gag, myalgia, drowsiness, panic, elation, pain, tremor, stress, ache, Dyskinesia, delusion, crying, nausea, weight gain, dizziness, negative thoughts, worry, withdraw, headache, Delusion, redness",51.44%
191,Aristocort A,Dermatitis,,94.00%
192,Armodafinil,"ADHD, Bipolar Disorde, Chronic Fatigue Syndrome, Depression, Hypersomnia, Narcolepsy, Not Listed / Othe, Obstructive Sleep Apnea/Hypopnea Syndrome, Shift Work Sleep Disorde, ibromyalgia","mania, sleepy, chronic fatigue syndrome, sleeplessness, anger, fall, tired, pain management, sweat, hunger, nervousness, staring, Fatigue, myalgia, surgery, suicidal, exhaustion, fever, Dizziness, panic, hoard, pain, tremor, essential tremor, stress, Chills, Depression, overdose, erectile dysfunction, Headache, Surgery, ache, amphetamines, scratch, diarrhea, hypersomnia, crying, nausea, fatigue, blackout, difficulty, dizziness, swelling, delivery, chill, moody, palpitation, withdraw, flare, headache, groggy, birth control, hypomania, lethargy, sleep attacks, redness",53.99%
193,Arnuity Ellipta,"Asthma, Maintenance","fall, pain",66.14%
194,Aromasin,Breast Cance,"surgery, crying, radiotherapy, nausea, fall, fatigue, tired, pain, dizziness, chill",38.41%
195,Artane,"Extrapyramidal Reaction, Parkinson's Disease","weight gain, spasm, tremor",45.94%
196,Artemether / lumefantrine,Malaria,malaria,78.27%
197,Arthrotec,"2 5 Osteoarthritis, Rheumatoid Arthritis, Sciatica","flare, sciatica, fall, tired, buttock pain, vertigo, bedridden, pain, dizziness, Sciatica, stress, myalgia, stiffness, hunger, drowsiness, surgery",63.47%
198,Asacol,"Crohn's Disease, Crohn's Disease, Maintenance, Lymphocytic Colitis, Ulcerative Colitis, Ulcerative Colitis, Active, Ulcerative Colitis, Maintenance","diarrhea, night sweat, flare, transfusion, tired, headache, nausea, fatigue, retch, colonoscopy, pain, dizziness, sweat, stress, tinnitus, Colitis, delivery, ache, redness",55.56%
199,Asacol HD,"Crohn's Disease, Maintenance, Ulcerative Colitis, Ulcerative Colitis, Active, Ulcerative Colitis, Maintenance","nausea, flare",68.05%
200,Ascorbic acid,Dietary Supplementation,"pain, diarrhea, surgery",34.75%
201,Asenapine,"Bipolar Disorde, Borderline Personality Disorde, Not Listed / Othe, Post Traumatic Stress Disorde","mania, sleepy, hypersomnia, numbness, obsessive thoughts, headache, fall, fatigue, Anxiety, anhedonia, nightmare, weight gain, panic, groggy, neck stiffness, stiffness, tremor, off label use, ache, suicidal",46.99%
202,Asendin,Depression,,75.50%
203,Asmanex Twisthaler,"Asthma, Maintenance","flare, fall, tired, Asthma, weight gain, osteopenia, cough, pain",57.58%
204,Aspirin,"Angina, Back Pain, Heart Attack, Osteoarthritis, Pain, Rheumatoid Arthritis, Sciatica, Thromboembolic Stroke Prophylaxis, eve","fever, palpitation, sciatica, headache, fatigue, pain, ache, surgery",68.14%
205,Aspirin / butalbital / caffeine,"Headache, Migraine, Not Listed / Othe, Pain","seizure, spasm, headache, nausea, panic, vomiting, pain, nausea and vomiting, swelling, opiates, overdose, aura, ache, Migraine",66.13%
206,Aspirin / butalbital / caffeine / codeine,Headache,"hangover, breakthrough pain, surgery, headache, vomiting, pain, constipation, x-ray, ache, Migraine",70.86%
207,Aspirin / caffeine,Pain,"headache, pain, ache, surgery",74.79%
208,Aspirin / caffeine / salicylamide,"Headache, Pain","headache, pain, Sciatica, aura, ache",74.15%
209,Aspirin / carisoprodol,"Muscle Pain, Muscle Spasm","pain, myalgia, nightmare",69.93%
210,Aspirin / chlorpheniramine / phenylephrine,Sinus Symptoms,,55.55%
211,Aspirin / diphenhydramine,Insomnia,,93.00%
212,Aspirin / meprobamate,Anxiety,,100.00%
213,Aspirin / oxycodone,Pain,"pain, pain management, withdraw, surgery",5.44%
214,Astepro, Allergic Rhinitis,"sleepy, flare, tired, headache, stuffy nose, cough, vertigo, pain, sneeze, ache, drowsiness",60.47%
215,Asthmanefrin,"Asthma, acute","headache, Asthma, cough, sweat, tremor, nervousness, ache, wheezing",53.67%
216,Atarax,"Allergic Urticaria, Allergies, Anxiety, Interstitial Cystitis, Nausea/Vomiting, Pain, Pruritus, Sedation","mania, sleepy, seizure, anger, fall, tired, muscle twitch, pain management, sweat, Urticaria, anxiety disorder, drowsiness, Anxiety disorder, fever, panic, pain, stress, ache, yawning, scratch, hangover, crying, nausea, wound, Anxiety, nightmare, fatigue, terrify, vertigo, dizziness, worry, elderly, withdraw, neuropathic pain, headache, shortness of breath, groggy",47.06%
217,Atenolol,"Alcohol Withdrawal, Angina, Anxiety, High Blood Pressure, Migraine Prevention, Mitral Valve Prolapse, Not Listed / Othe, Supraventricular Tachycardia, Ventricular Tachycardia","chest tightness, seizure, anger, fall, tired, out of breath, feeling cold, vomiting, sweat, exhaustion, suicidal, wheezing, Tachycardia, Dizziness, panic, pain, burning sensation, paresis, tremor, stress, Regurgitation, Rhinitis, nausea and vomiting, ache, bradycardia, diarrhea, nausea, nightmare, pallor, weight gain, difficulty, vertigo, dizziness, swelling, worry, palpitation, spasm, feeling suicidal, Chest pain, headache, shortness of breath, lightheadedness, lethargy, dialysis, redness",54.43%
218,Atenolol / chlorthalidone,High Blood Pressure,blood test,60.73%
219,Ativan,"Anxiety, Cervical Dystonia, Dysautonomia, Insomnia, Light Anesthesia, Nausea/Vomiting, Panic Disorde, Sedation, Status Epilepticus","sleepy, chronic fatigue syndrome, seizure, hypotension, Hyperthyroidism, adverse effect, anger, fall, tired, vomiting, pain management, constipation, sweat, gag, myalgia, exhaustion, anxiety disorder, surgery, Dystonia, Anxiety disorder, drowsiness, bankruptcy, suicidal, laziness, hospice care, panic, elation, intensive care, screaming, pain, paresis, throat tightness, adverse reaction, stress, Depression, tremor, aura, nausea and vomiting, ache, incoherent, Migraine, hangover, diarrhea, claustrophobia, smoker, crying, nausea, wound, Anxiety, nightmare, weight gain, fatigue, Mass, difficulty, vertigo, Insomnia, dizziness, terrify, rale, worry, chill, moody, palpitation, elderly, spasm, withdraw, flare, alcoholic, headache, shortness of breath, redness",60.65%
220,Atomoxetine,"ADHD, Depression","mania, sleepy, anger, fall, tired, Crying, vomiting, heartburn, constipation, depressed mood, sweat, agitation, gag, exhaustion, flat affect, anxiety disorder, drowsiness, suicidal, Dizziness, Autism, panic, elation, aggression, unwell, screaming, learning disability, overweight, traction, pain, stress, Depression, erectile dysfunction, tremor, ache, amphetamines, diarrhea, unhappy, delusion, crying, syncope, nausea, fatigue, Anxiety, nightmare, difficulty, dizziness, Mania, worry, chill, hysterectomy, moody, cold sweat, palpitation, Scar, frustration, feeling suicidal, withdraw, daydreaming, flare, headache, lethargy, opiates, redness",39.48%
221,Atorvastatin,"High Cholesterol, High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Homozygous, Prevention of Cardiovascular Disease","seizure, adverse effect, sinus pain, tired, heartburn, sweat, surgery, fever, blood test, numbness, stuffy nose, overweight, pain, ache, massage, diarrhea, nausea, nightmare, weight gain, cough, vertigo, dizziness, swelling, worry, chill, stinging sensation, spasm, withdraw, headache, Pain, sneeze, redness",32.75%
222,Atovaquone,Malaria,,72.00%
223,Atripla,"  HIV Infection, Nonoccupational Exposure","sleeplessness, fall, constipation, sweat, drowsiness, fever, Dizziness, blood test, elation, pain, prophylaxis, Depression, ache, diarrhea, crying, nausea, fatigue, nightmare, cough, viral load, dizziness, worry, chill, night sweat, headache, shortness of breath",67.71%
224,Atropine,Not Listed / Othe,scratch,17.10%
225,Atropine / difenoxin,"Diarrhea, Acute, Diarrhea, Chronic",pain,73.99%
226,Atropine / diphenoxylate,Diarrhea,"vomiting, constipation, vaginal fistula, anxiety disorder, abdominal symptom, surgery, panic, uterine cancer, pain, adverse reaction, stress, aura, scratch, diarrhea, bone infection, nausea, wound, flushing, Colitis, worry, spasm",61.21%
227,Atropine / hyoscyamine / phenobarbital / scopolamine,Irritable Bowel Syndrome,pain,67.30%
228,Atrovent HFA,"COPD, Maintenance",,49.00%
229,Atrovent Nasal,Rhinorrhea,,68.66%
230,Attapulgite,Diarrhea,,78.48%
231,Aubagio,Multiple Sclerosis,"fall, suicidal, numbness, panic, lesion, pain, burning sensation, stress, ache, diarrhea, nausea, fatigue, nightmare, dizziness, swelling, stiffness, flushing, chill, spasm, Incontinence, headache, Nausea",42.33%
232,Aubra,Birth Control,,59.34%
233,Augmentin,"    Bacterial Infection, Bronchitis, Kidney Infections, Otitis Media, Pneumonia, Sinusitis, Skin and Structure Infection, Skin or Soft Tissue Infection, Small Bowel Bacterial Overgrowth, Strep Throat, Upper Respiratory Tract Infection, Urinary Tract Infection","sleepy, seizure, Infection, fall, tired, vomiting, heartburn, constipation, sweat, throat sore, infected cyst, exhaustion, surgery, wheezing, fever, panic, screaming, traction, pain, nausea and vomiting, Ear infection, Headache, ache, scratch, diarrhea, crying, nausea, bite, wound, fatigue, nightmare, retch, cough, colonoscopy, vertigo, dizziness, swelling, malaise, chill, palpitation, Scar, night sweat, flare, headache, shortness of breath, tooth extraction, groggy, Nausea, personality change, welt, lethargy, redness",41.99%
234,Augmentin ES-600,"Strep Throat, Urinary Tract Infection","fever, pain",31.05%
235,Augmentin XR,"Sinusitis, Skin and Structure Infection","bite, diarrhea, swelling, redness",68.34%
236,Auranofin,Rheumatoid Arthritis,"aura, disease progression",73.90%
237,Avanafil,Erectile Dysfunction,"Flushing, cold sweat, stress, headache, radical prostatectomy, difficulty, pain, prostatectomy, sweat, erectile dysfunction, flushing, ache, worry, surgery",44.88%
238,Avandamet,"Diabetes, Type 2",,46.10%
239,Avandia,"Diabetes, Type 2","pain, weight gain, stress",29.83%
240,Avapro,"Diabetic Kidney Disease, High Blood Pressure","sleepy, anger, fall, headache, nausea, fatigue, tired, lightheadedness, heartburn, ache, cough, dry throat, pain, difficulty, dizziness, sweat, stress, myalgia, exhaustion, redness",38.81%
241,Avar,Acne,,68.50%
242,Avar LS Cleanser,Seborrheic Dermatitis,,76.59%
243,Avastin,"Breast Cancer, Metastatic, Glioblastoma Multiforme, Macular Degeneration, Malignant Glioma, Non-Small Cell Lung Cance, Ovarian Cance, Pancreatic Cance, Renal Cell Carcinoma","non-small cell lung cancer, surgery, tired, pain, glioblastoma, swelling, constipation, Surgery",58.09%
244,Aveed,"Hypogonadism, Male","Dizziness, worry, sweat",39.06%
245,Aveeno,Dry Skin,,29.48%
246,Avelox,"Bacterial Infection, Bronchitis, Intraabdominal Infection, Pneumonia, Prostatitis, Sinusitis, Skin and Structure Infection","sleepy, seizure, sleeplessness, Infection, fall, tired, vomiting, bronchial infection, constipation, sweat, drool, nervousness, erythema, surgery, drowsiness, wheezing, fever, pain, nausea and vomiting, adverse reaction, Pneumonia, tremor, tinnitus, ache, prostate infection, diarrhea, nausea, fatigue, terrify, cough, dizziness, swelling, chill, drowning, palpitation, Scar, headache, shortness of breath, Hypothyroidism, lightheadedness, Pain, Nausea, welt, redness",51.03%
