drugName,condition,Side_Effect,effectiveness
Apomorphine,Parkinson's Disease,"delivery, stiffness",60.63%
Apremilast,"Not Listed / Othe, Plaque Psoriasis, Psoriatic Arthritis","seizure, sleeplessness, tired, scab, Psoriasis, vomiting, heartburn, tendon pain, Rash, feeling hopeless, biopsy, gag, staring, Fatigue, surgery, fever, panic, lesion, screaming, overweight, pain, stress, Tremor, lung infection, Headache, ache, Arthritis, scratch, diarrhea, Tension, crying, nausea, bite, wound, Anxiety, nightmare, fatigue, cough, guttate psoriasis, dizziness, swelling, stiffness, palpitation, spasm, flare, skin plaque, headache, Pain, Nausea, redness",38.89%
Apriso,"Crohn's Disease, Inflammatory Bowel Disease, Ulcerative Colitis, Ulcerative Colitis, Maintenance","flare, tired, headache, nausea, sigmoiditis, vomiting, vertigo, pain, sweat, stiffness, biopsy, Colitis, ache",40.91%
Aptensio XR,ADHD,"tired, moody",50.29%
Arava,Rheumatoid Arthritis,"fever, flare, fall, headache, nausea, ache, cough, pain, swelling, stiffness, lung nodule, myalgia, surgery, tooth infection",46.45%
Arcalyst,amilial Cold Autoinflammatory Syndrome,"pain, worry, terrify",72.31%
Arginine,"Diagnosis and Investigation, Dietary Supplementation","withdraw, artery dissection, smoker, pain, stress",70.91%
Aricept, Alzheimer's Disease,"sleepy, fever, palpitation, diarrhea, delusion, anger, tired, headache, vascular dementia, weight gain, pain, constipation, swelling, agitation, ache, surgery",38.49%
Aripiprazole,"Agitated State, Autism, Bipolar Disorde, Borderline Personality Disorde, Depression, Major Depressive Disorde, Not Listed / Othe, Obsessive Compulsive Disorde, Post Traumatic Stress Disorde, Schizoaffective Disorde, Schizophrenia, Tourette's Syndrome","mania, sleepy, Akathisia, sleeplessness, anger, fall, tired, affective disorder, heartburn, constipation, Stress, sweat, agitation, hunger, gag, myalgia, drowsiness, panic, elation, pain, tremor, stress, ache, Dyskinesia, delusion, crying, nausea, weight gain, dizziness, negative thoughts, worry, withdraw, headache, Delusion, redness",51.44%
Armodafinil,"ADHD, Bipolar Disorde, Chronic Fatigue Syndrome, Depression, Hypersomnia, Narcolepsy, Not Listed / Othe, Obstructive Sleep Apnea/Hypopnea Syndrome, Shift Work Sleep Disorde, ibromyalgia","mania, sleepy, chronic fatigue syndrome, sleeplessness, anger, fall, tired, pain management, sweat, hunger, nervousness, staring, Fatigue, myalgia, surgery, suicidal, exhaustion, fever, Dizziness, panic, hoard, pain, tremor, essential tremor, stress, Chills, Depression, overdose, erectile dysfunction, Headache, Surgery, ache, amphetamines, scratch, diarrhea, hypersomnia, crying, nausea, fatigue, blackout, difficulty, dizziness, swelling, delivery, chill, moody, palpitation, withdraw, flare, headache, groggy, birth control, hypomania, lethargy, sleep attacks, redness",53.99%
Arnuity Ellipta,"Asthma, Maintenance","fall, pain",66.14%
Aromasin,Breast Cance,"surgery, crying, radiotherapy, nausea, fall, fatigue, tired, pain, dizziness, chill",38.41%
Artane,"Extrapyramidal Reaction, Parkinson's Disease","weight gain, spasm, tremor",45.94%
Artemether / lumefantrine,Malaria,malaria,78.27%
Arthrotec,"2 5 Osteoarthritis, Rheumatoid Arthritis, Sciatica","flare, sciatica, fall, tired, buttock pain, vertigo, bedridden, pain, dizziness, Sciatica, stress, myalgia, stiffness, hunger, drowsiness, surgery",63.47%
Asacol,"Crohn's Disease, Crohn's Disease, Maintenance, Lymphocytic Colitis, Ulcerative Colitis, Ulcerative Colitis, Active, Ulcerative Colitis, Maintenance","diarrhea, night sweat, flare, transfusion, tired, headache, nausea, fatigue, retch, colonoscopy, pain, dizziness, sweat, stress, tinnitus, Colitis, delivery, ache, redness",55.56%
Asacol HD,"Crohn's Disease, Maintenance, Ulcerative Colitis, Ulcerative Colitis, Active, Ulcerative Colitis, Maintenance","nausea, flare",68.05%
Ascorbic acid,Dietary Supplementation,"pain, diarrhea, surgery",34.75%
Asenapine,"Bipolar Disorde, Borderline Personality Disorde, Not Listed / Othe, Post Traumatic Stress Disorde","mania, sleepy, hypersomnia, numbness, obsessive thoughts, headache, fall, fatigue, Anxiety, anhedonia, nightmare, weight gain, panic, groggy, neck stiffness, stiffness, tremor, off label use, ache, suicidal",46.99%
Asmanex Twisthaler,"Asthma, Maintenance","flare, fall, tired, Asthma, weight gain, osteopenia, cough, pain",57.58%
Aspirin,"Angina, Back Pain, Heart Attack, Osteoarthritis, Pain, Rheumatoid Arthritis, Sciatica, Thromboembolic Stroke Prophylaxis, eve","fever, palpitation, sciatica, headache, fatigue, pain, ache, surgery",68.14%
Aspirin / butalbital / caffeine,"Headache, Migraine, Not Listed / Othe, Pain","seizure, spasm, headache, nausea, panic, vomiting, pain, nausea and vomiting, swelling, opiates, overdose, aura, ache, Migraine",66.13%
Aspirin / butalbital / caffeine / codeine,Headache,"hangover, breakthrough pain, surgery, headache, vomiting, pain, constipation, x-ray, ache, Migraine",70.86%
Aspirin / caffeine,Pain,"headache, pain, ache, surgery",74.79%
Aspirin / caffeine / salicylamide,"Headache, Pain","headache, pain, Sciatica, aura, ache",74.15%
Aspirin / carisoprodol,"Muscle Pain, Muscle Spasm","pain, myalgia, nightmare",69.93%
Aspirin / oxycodone,Pain,"pain, pain management, withdraw, surgery",5.44%
Astepro, Allergic Rhinitis,"sleepy, flare, tired, headache, stuffy nose, cough, vertigo, pain, sneeze, ache, drowsiness",60.47%
Asthmanefrin,"Asthma, acute","headache, Asthma, cough, sweat, tremor, nervousness, ache, wheezing",53.67%
Atarax,"Allergic Urticaria, Allergies, Anxiety, Interstitial Cystitis, Nausea/Vomiting, Pain, Pruritus, Sedation","mania, sleepy, seizure, anger, fall, tired, muscle twitch, pain management, sweat, Urticaria, anxiety disorder, drowsiness, Anxiety disorder, fever, panic, pain, stress, ache, yawning, scratch, hangover, crying, nausea, wound, Anxiety, nightmare, fatigue, terrify, vertigo, dizziness, worry, elderly, withdraw, neuropathic pain, headache, shortness of breath, groggy",47.06%
Atenolol,"Alcohol Withdrawal, Angina, Anxiety, High Blood Pressure, Migraine Prevention, Mitral Valve Prolapse, Not Listed / Othe, Supraventricular Tachycardia, Ventricular Tachycardia","chest tightness, seizure, anger, fall, tired, out of breath, feeling cold, vomiting, sweat, exhaustion, suicidal, wheezing, Tachycardia, Dizziness, panic, pain, burning sensation, paresis, tremor, stress, Regurgitation, Rhinitis, nausea and vomiting, ache, bradycardia, diarrhea, nausea, nightmare, pallor, weight gain, difficulty, vertigo, dizziness, swelling, worry, palpitation, spasm, feeling suicidal, Chest pain, headache, shortness of breath, lightheadedness, lethargy, dialysis, redness",54.43%
Atenolol / chlorthalidone,High Blood Pressure,blood test,60.73%
Ativan,"Anxiety, Cervical Dystonia, Dysautonomia, Insomnia, Light Anesthesia, Nausea/Vomiting, Panic Disorde, Sedation, Status Epilepticus","sleepy, chronic fatigue syndrome, seizure, hypotension, Hyperthyroidism, adverse effect, anger, fall, tired, vomiting, pain management, constipation, sweat, gag, myalgia, exhaustion, anxiety disorder, surgery, Dystonia, Anxiety disorder, drowsiness, bankruptcy, suicidal, laziness, hospice care, panic, elation, intensive care, screaming, pain, paresis, throat tightness, adverse reaction, stress, Depression, tremor, aura, nausea and vomiting, ache, incoherent, Migraine, hangover, diarrhea, claustrophobia, smoker, crying, nausea, wound, Anxiety, nightmare, weight gain, fatigue, Mass, difficulty, vertigo, Insomnia, dizziness, terrify, rale, worry, chill, moody, palpitation, elderly, spasm, withdraw, flare, alcoholic, headache, shortness of breath, redness",60.65%
Atomoxetine,"ADHD, Depression","mania, sleepy, anger, fall, tired, Crying, vomiting, heartburn, constipation, depressed mood, sweat, agitation, gag, exhaustion, flat affect, anxiety disorder, drowsiness, suicidal, Dizziness, Autism, panic, elation, aggression, unwell, screaming, learning disability, overweight, traction, pain, stress, Depression, erectile dysfunction, tremor, ache, amphetamines, diarrhea, unhappy, delusion, crying, syncope, nausea, fatigue, Anxiety, nightmare, difficulty, dizziness, Mania, worry, chill, hysterectomy, moody, cold sweat, palpitation, Scar, frustration, feeling suicidal, withdraw, daydreaming, flare, headache, lethargy, opiates, redness",39.48%
Atorvastatin,"High Cholesterol, High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Homozygous, Prevention of Cardiovascular Disease","seizure, adverse effect, sinus pain, tired, heartburn, sweat, surgery, fever, blood test, numbness, stuffy nose, overweight, pain, ache, massage, diarrhea, nausea, nightmare, weight gain, cough, vertigo, dizziness, swelling, worry, chill, stinging sensation, spasm, withdraw, headache, Pain, sneeze, redness",32.75%
Atripla,"  HIV Infection, Nonoccupational Exposure","sleeplessness, fall, constipation, sweat, drowsiness, fever, Dizziness, blood test, elation, pain, prophylaxis, Depression, ache, diarrhea, crying, nausea, fatigue, nightmare, cough, viral load, dizziness, worry, chill, night sweat, headache, shortness of breath",67.71%
Atropine,Not Listed / Othe,scratch,17.10%
Atropine / difenoxin,"Diarrhea, Acute, Diarrhea, Chronic",pain,73.99%
Atropine / diphenoxylate,Diarrhea,"vomiting, constipation, vaginal fistula, anxiety disorder, abdominal symptom, surgery, panic, uterine cancer, pain, adverse reaction, stress, aura, scratch, diarrhea, bone infection, nausea, wound, flushing, Colitis, worry, spasm",61.21%
Atropine / hyoscyamine / phenobarbital / scopolamine,Irritable Bowel Syndrome,pain,67.30%
Aubagio,Multiple Sclerosis,"fall, suicidal, numbness, panic, lesion, pain, burning sensation, stress, ache, diarrhea, nausea, fatigue, nightmare, dizziness, swelling, stiffness, flushing, chill, spasm, Incontinence, headache, Nausea",42.33%
Augmentin,"    Bacterial Infection, Bronchitis, Kidney Infections, Otitis Media, Pneumonia, Sinusitis, Skin and Structure Infection, Skin or Soft Tissue Infection, Small Bowel Bacterial Overgrowth, Strep Throat, Upper Respiratory Tract Infection, Urinary Tract Infection","sleepy, seizure, Infection, fall, tired, vomiting, heartburn, constipation, sweat, throat sore, infected cyst, exhaustion, surgery, wheezing, fever, panic, screaming, traction, pain, nausea and vomiting, Ear infection, Headache, ache, scratch, diarrhea, crying, nausea, bite, wound, fatigue, nightmare, retch, cough, colonoscopy, vertigo, dizziness, swelling, malaise, chill, palpitation, Scar, night sweat, flare, headache, shortness of breath, tooth extraction, groggy, Nausea, personality change, welt, lethargy, redness",41.99%
Augmentin ES-600,"Strep Throat, Urinary Tract Infection","fever, pain",31.05%
Augmentin XR,"Sinusitis, Skin and Structure Infection","bite, diarrhea, swelling, redness",68.34%
Auranofin,Rheumatoid Arthritis,"aura, disease progression",73.90%
Avanafil,Erectile Dysfunction,"Flushing, cold sweat, stress, headache, radical prostatectomy, difficulty, pain, prostatectomy, sweat, erectile dysfunction, flushing, ache, worry, surgery",44.88%
Avandia,"Diabetes, Type 2","pain, weight gain, stress",29.83%
Avapro,"Diabetic Kidney Disease, High Blood Pressure","sleepy, anger, fall, headache, nausea, fatigue, tired, lightheadedness, heartburn, ache, cough, dry throat, pain, difficulty, dizziness, sweat, stress, myalgia, exhaustion, redness",38.81%
Avastin,"Breast Cancer, Metastatic, Glioblastoma Multiforme, Macular Degeneration, Malignant Glioma, Non-Small Cell Lung Cance, Ovarian Cance, Pancreatic Cance, Renal Cell Carcinoma","non-small cell lung cancer, surgery, tired, pain, glioblastoma, swelling, constipation, Surgery",58.09%
Aveed,"Hypogonadism, Male","Dizziness, worry, sweat",39.06%
Avelox,"Bacterial Infection, Bronchitis, Intraabdominal Infection, Pneumonia, Prostatitis, Sinusitis, Skin and Structure Infection","sleepy, seizure, sleeplessness, Infection, fall, tired, vomiting, bronchial infection, constipation, sweat, drool, nervousness, erythema, surgery, drowsiness, wheezing, fever, pain, nausea and vomiting, adverse reaction, Pneumonia, tremor, tinnitus, ache, prostate infection, diarrhea, nausea, fatigue, terrify, cough, dizziness, swelling, chill, drowning, palpitation, Scar, headache, shortness of breath, Hypothyroidism, lightheadedness, Pain, Nausea, welt, redness",51.03%
Avodart,Benign Prostatic Hyperplasia,"Infection, difficulty, pain, vertigo, erectile dysfunction, surgery",53.18%
Avonex Pen,Multiple Sclerosis,lesion,74.64%
Axiron,"1 Hypogonadism, Male","adverse effect, fall, tired, vomiting, prostatectomy, sweat, no adverse effect, surgery, blood test, pain, muscle fatigue, erectile dysfunction, ache, diarrhea, smoker, nausea, fatigue, muscle mass, swelling, delivery, worry, moody, headache, radical prostatectomy, lethargy, redness",56.33%
Ayr Saline Nasal,Nasal Congestion,"headache, ache, swelling",12.52%
Azacitidine,Myelodysplastic Syndrome,"hot flush, headache, fatigue, vomiting, difficulty, ache",50.08%
Azasan,"Crohn's Disease, Systemic Lupus Erythematosus","nausea, vomiting",53.81%
Azathioprine,"Atopic Dermatitis, Autoimmune Hepatitis, Crohn's Disease, Crohn's Disease, Acute, Crohn's Disease, Maintenance, Eczema, Multiple Sclerosis, Myasthenia Gravis, Renal Transplant, Rheumatoid Arthritis, Systemic Lupus Erythematosus, Ulcerative Colitis, Wegener's Granulomatosis","seizure, tired, blood count, vomiting, sweat, biopsy, myalgia, erythema, fever, blood test, autoimmune hepatitis, pain, stress, ache, diarrhea, nausea, fatigue, cough, dizziness, swelling, stiffness, worry, chill, asthenia, spasm, flare, headache, Pancreatitis",44.75%
Azelaic acid,"Acne, Rosacea","flare, panic, Dermatitis, pustule, pain, purging, sweat, stress, redness",57.14%
Azelastine,"Allergic Rhinitis, Conjunctivitis, Allergic, Not Listed / Othe","sleepy, sinus operation, fall, tired, gag, Fatigue, occipital neuralgia, drowsiness, surgery, dyspnea, stuffy nose, Asthma, pain, adverse reaction, stress, Depression, ache, retch, Mass, cough, dizziness, drowning, spasm, flare, alcoholic, headache, shortness of breath, groggy, Pain, sneeze",50.90%
Azilsartan medoxomil,High Blood Pressure,"withdraw, angiogram, tired, shortness of breath, pain, dizziness, stress",46.69%
Azithromycin,"Bacterial Endocarditis Prevention, Bacterial Infection, Bronchitis, COPD, Acute, Chlamydia Infection, Conjunctivitis, Bacterial, Cystic Fibrosis, Gonococcal Infection, Uncomplicated, Lyme Disease, Erythema Chronicum Migrans, Mycoplasma Pneumonia, Not Listed / Othe, Otitis Media, Pharyngitis, Pneumonia, STD Prophylaxis, Sinusitis, Skin or Soft Tissue Infection, Tonsillitis/Pharyngitis, Upper Respiratory Tract Infection","anger, fall, tired, vomiting, bronchial infection, productive cough, Fatigue, Vaginal discharge, surgery, fever, Pneumonia, lung infection, Cough, diarrhea, bite, wound, fatigue, difficulty, Supraventricular tachycardia, worry, cold sweat, Fall, sneeze, redness, chest tightness, Inflammation, endoscopy, constipation, sweat, nervousness, drowsiness, Asthma, unwell, ache, crying, colonoscopy, swelling, delivery, Pain, asymptomatic, Infection, visual disturbance, Stress, immobile, gag, wheezing, non-productive cough, Wound, traction, pain, burning sensation, Headache, drug interaction, x-ray, aura, smoker, nausea, cough, vertigo, stiffness, tooth infection, shooting pain, shortness of breath, Nausea, lethargy, sleepy, sinus pain, hoarseness, hacking cough, blood test, panic, elation, stress, Chills, Surgery, scratch, nightmare, dizziness, chill, palpitation, Scar, spasm, night sweat, abortion, flare, headache, dry throat",49.92%
